Time(ms),Accel Time(ms),Accel X (mg),Accel Y (mg),Accel Z (mg),Light Time(ms),Light (lux),UV Index,Weather Time(ms),Humidity (%),Temperature (C),Air Quality Time(ms),CO2 (ppm),Ethanol (raw),H2 (raw),TVOC (ppb),BME688 Time(ms),Temperature (C),Pressure (Pa),Humidity (%),Gas Resistance (Ohms),Gas Index,Status,Heater Stable,IDAC,Meas Index,Gas Valid
18500825,18500606,-0.164062,0.015625,1.070312,18500608,39,0.498571,18500616,16.960335,36.29,18500778,400,20044,15027,2184,18499806,33.627861,87636.11719,20.042719,102400000,0,1,96,50,1,2779096485
18501844,18501625,-0.179688,0,1.046875,18501627,39,0.5,18501635,16.993237,36.29,18501797,400,20047,15029,2198,18501844,32.896908,87635.98438,19.960787,102400000,0,1,96,60,1,2779096485
18502863,18502644,-0.171875,0,1.0625,18502646,39,0.500714,18502654,16.98761,36.28,18502816,400,20052,15028,2203,18501844,32.896908,87635.98438,19.960787,102400000,0,1,96,60,1,2779096485
18503882,18503663,-0.1875,0,1.046875,18503665,39,0.503571,18503673,16.994667,36.25,18503835,400,20046,15031,2230,18501844,32.896908,87635.98438,19.960787,102400000,0,1,96,60,1,2779096485
18504901,18504682,-0.179688,0.015625,1.085938,18504684,39,0.497857,18504692,17.02013,36.23,18504854,400,20044,15024,2228,18501844,32.896908,87635.98438,19.960787,102400000,0,1,96,60,1,2779096485
18505920,18505701,-0.171875,0.015625,1.054688,18505703,39,0.501429,18505711,17.026234,36.26,18505873,400,20040,15024,2214,18501844,32.896908,87635.98438,19.960787,102400000,0,1,96,60,1,2779096485
18506939,18506720,-0.179688,0.007812,1.0625,18506722,39,0.498571,18506730,17.032623,36.28,18506892,400,20040,15029,2207,18501844,32.896908,87635.98438,19.960787,102400000,0,1,96,60,1,2779096485
18507958,18507739,-0.171875,0.007812,1.046875,18507741,39,0.501429,18507749,17.068481,36.28,18507911,400,20043,15024,2180,18501844,32.896908,87635.98438,19.960787,102400000,0,1,96,60,1,2779096485
18508977,18508758,-0.171875,0.023438,1.078125,18508760,39,0.5,18508768,17.04874,36.28,18508930,400,20042,15029,2187,18501844,32.896908,87635.98438,19.960787,102400000,0,1,96,60,1,2779096485
18509996,18509777,-0.179688,-0.015625,1.054688,18509779,39,0.497143,18509787,17.016602,36.24,18509949,400,20040,15021,2217,18501844,32.896908,87635.98438,19.960787,102400000,0,1,96,60,1,2779096485
18511015,18510796,-0.171875,0.007812,1.023438,18510798,39,0.5,18510806,17.031479,36.21,18510968,400,20033,15022,2235,18511015,33.958054,87635.875,20.441776,735368.0625,0,1,170,110,1,2779096485
18512034,18511815,-0.179688,0,1.070312,18511817,39,0.503571,18511825,17.056465,36.24,18511987,400,20032,15019,2265,18512034,34.094162,87635.23438,20.368746,758378.0625,0,1,170,115,1,2779096485
18513053,18512834,-0.179688,0.007812,1.078125,18512836,39,0.498571,18512844,17.05904,36.23,18513006,400,20039,15019,2260,18513053,34.164738,87638.70313,20.271044,781828.5625,0,1,170,120,1,2779096485
18514072,18513853,-0.1875,0.007812,1.046875,18513855,39,0.502143,18513863,16.983223,36.24,18514025,400,20029,15018,2286,18514072,34.210106,87637.55469,20.171764,803452.3125,0,1,170,125,1,2779096485
18515091,18514872,-0.171875,0,1.03125,18514874,39,0.497857,18514882,17.027092,36.24,18515044,400,20027,15011,2302,18514072,34.210106,87637.55469,20.171764,803452.3125,0,1,170,125,1,2779096485
18516110,18515891,-0.171875,-0.015625,1.085938,18515893,39,0.500714,18515901,17.02013,36.26,18516063,400,20029,15025,2254,18514072,34.210106,87637.55469,20.171764,803452.3125,0,1,170,125,1,2779096485
18517129,18516910,-0.171875,0.039062,1.085938,18516912,39,0.502143,18516920,16.970348,36.25,18517082,400,20034,15029,2265,18514072,34.210106,87637.55469,20.171764,803452.3125,0,1,170,125,1,2779096485
18518148,18517929,-0.1875,-0.015625,1.070312,18517931,39,0.5,18517939,17.043495,36.22,18518101,400,20029,15023,2258,18514072,34.210106,87637.55469,20.171764,803452.3125,0,1,170,125,1,2779096485
18519167,18518948,-0.1875,0,1.039062,18518950,39,0.505,18518958,17.034626,36.26,18519120,457,20020,14959,2311,18514072,34.210106,87637.55469,20.171764,803452.3125,0,1,170,125,1,2779096485
